연도,행정동코드,업종,총매출,매출증감률,순위
2024,11110515,가전제품수리,8399398.5,-58.195754335485375,31.0
2024,11110515,문구,3066304.5,-22.381543779290322,32.0
2024,11110515,미곡판매,14562547.666666666,34.865901979891326,30.0
2024,11110515,미용실,271054655.75,4.274520112126287,19.0
2024,11110515,반찬가게,426000000.0,0.0,14.0
2024,11110515,분식전문점,475481223.0,71.61684741741374,13.0
2024,11110515,서적,4263251464.0,-0.0094304859797846,2.0
2024,11110515,섬유제품,103458958.5,2.0535003994032572,23.0
2024,11110515,세탁소,77224562.0,-3.475775482017963,25.0
2024,11110515,수산물판매,68044958.5,-3.421381781060262,28.0
2024,11110515,슈퍼마켓,1796786119.75,-13.90094841907116,5.0
2024,11110515,스포츠 강습,69626999.0,-32.24802356677418,26.0
2024,11110515,시계및귀금속,1000000.0,-60.0,33.0
2024,11110515,신발,24000000.0,0.0,29.0
2024,11110515,양식음식점,2692385770.25,4.473264900854801,4.0
2024,11110515,예술학원,92846154.0,10.077519035196557,24.0
2024,11110515,육류판매,487499986.25,68.77175495029425,12.0
2024,11110515,의약품,831337515.75,-6.509794191187478,7.0
2024,11110515,인테리어,197828298.75,17.512130990959758,21.0
2024,11110515,일반교습학원,604663041.0,5.972532264936627,9.0
2024,11110515,일반의류,407031807.5,25.313045605759115,15.0
2024,11110515,일반의원,522605390.5,-12.436742628885499,11.0
2024,11110515,일식음식점,374196913.0,2.5608636597144776,16.0
2024,11110515,자동차미용,227184387.5,4.201648394163748,20.0
2024,11110515,제과점,552369611.5,16.819916982299148,10.0
2024,11110515,청과상,816854180.75,8.026287660856953,8.0
2024,11110515,치킨전문점,120620872.75,59.232230498272855,22.0
2024,11110515,커피-음료,5532464531.0,14.109358968357297,1.0
2024,11110515,편의점,1161325230.0,-1.928452948444887,6.0
2024,11110515,피부관리실,68762819.25,195.27583825769662,27.0
2024,11110515,한식음식점,3554434114.5,3.06862432097681,3.0
2024,11110515,호프-간이주점,298803085.25,-19.715139345115283,18.0
2024,11110515,화초,305306715.5,42.029943861457156,17.0
2024,11110530,가방,70500000.0,347.61904761904765,39.0
2024,11110530,가전제품,401827643.25,-62.79702971568919,23.0
2024,11110530,네일숍,91010870.0,5.104324659200954,37.0
2024,11110530,노래방,287154007.75,5.244220955646154,29.0
2024,11110530,당구장,44299555.75,-13.742263748631647,41.0
2024,11110530,문구,2835329971.25,-3.7312160595867248,9.0
2024,11110530,미곡판매,209904301.5,-13.054597137442785,33.0
2024,11110530,미용실,346780812.0,-5.851450718086731,27.0
2024,11110530,반찬가게,195000000.0,-71.685064152239,35.0
2024,11110530,분식전문점,3060054839.0,12.671180370307072,7.0
2024,11110530,서적,340392082.5,51.057168774339104,28.0
2024,11110530,세탁소,30297606.75,-55.0222607293093,42.0
2024,11110530,슈퍼마켓,2380983964.0,-7.16903005923642,11.0
2024,11110530,스포츠 강습,639305475.0,37.103891828078886,21.0
2024,11110530,스포츠클럽,1795566836.5,-8.002210255442387,15.0
2024,11110530,시계및귀금속,75163356.0,47.064260504604924,38.0
2024,11110530,안경,260443665.25,3.2717488007003874,31.0
2024,11110530,양식음식점,6192206034.25,4.513446728270264,3.0
2024,11110530,여관,70117948.5,-4.849661017339003,40.0
