연도,행정동코드,업종,총매출,매출증감률,순위
2019,11110515,미용실,169169962.5,0,15.0
2019,11110515,분식전문점,520381471.25,0,9.0
2019,11110515,서적,4058359293.25,0,1.0
2019,11110515,섬유제품,232306102.75,0,12.0
2019,11110515,세탁소,25863866.5,0,28.0
2019,11110515,수산물판매,62262762.75,0,20.0
2019,11110515,슈퍼마켓,1797861743.25,0,4.0
2019,11110515,스포츠 강습,35227777.75,0,27.0
2019,11110515,시계및귀금속,85720233.5,0,19.0
2019,11110515,신발,43391988.5,0,25.0
2019,11110515,양식음식점,1224942643.0,0,5.0
2019,11110515,예술학원,52569230.75,0,23.0
2019,11110515,외국어학원,23723186.0,0,30.0
2019,11110515,육류판매,51774075.25,0,24.0
2019,11110515,의약품,740992298.0,0,8.0
2019,11110515,인테리어,4312076.666666667,0,33.0
2019,11110515,일반교습학원,117137888.75,0,17.0
2019,11110515,일반의류,426521001.5,0,11.0
2019,11110515,일반의원,453315832.0,0,10.0
2019,11110515,일식음식점,132512136.25,0,16.0
2019,11110515,전자상거래업,3000000.0,0,34.0
2019,11110515,제과점,743264123.0,0,7.0
2019,11110515,중식음식점,39026536.25,0,26.0
2019,11110515,청과상,212258588.0,0,13.0
2019,11110515,치과의원,178670147.0,0,14.0
2019,11110515,치킨전문점,9530522.75,0,32.0
2019,11110515,커피-음료,2019403396.0,0,3.0
2019,11110515,패스트푸드점,23974217.75,0,29.0
2019,11110515,편의점,873769868.25,0,6.0
2019,11110515,피부관리실,12500000.0,0,31.0
2019,11110515,한식음식점,2183367583.0,0,2.0
2019,11110515,한의원,102596377.0,0,18.0
2019,11110515,호프-간이주점,52939072.0,0,22.0
2019,11110515,화초,56692777.0,0,21.0
2019,11110530,가방,15000000.0,0,42.0
2019,11110530,가전제품,843936970.5,0,16.0
2019,11110530,네일숍,46666256.5,0,39.0
2019,11110530,노래방,317790613.5,0,25.0
2019,11110530,당구장,7594852.25,0,43.0
2019,11110530,문구,2070594541.5,0,9.0
2019,11110530,미곡판매,124501957.0,0,30.0
2019,11110530,미용실,346321229.5,0,24.0
2019,11110530,반찬가게,367865855.75,0,23.0
2019,11110530,분식전문점,1842450856.75,0,13.0
2019,11110530,세탁소,64173720.25,0,35.0
