연도,행정동코드,업종,총매출,매출증감률,순위
2021,11110515,가방,22673366.0,0.0,35.0
2021,11110515,가전제품수리,3459272.75,0.0,38.0
2021,11110515,문구,4436782.0,0.0,37.0
2021,11110515,미곡판매,32294103.5,-5.209474678016603,32.0
2021,11110515,미용실,266362417.25,82.16028411220675,17.0
2021,11110515,반찬가게,246630487.25,0.0,19.0
2021,11110515,분식전문점,245940802.0,-38.5000253610925,21.0
2021,11110515,서적,4265658777.5,4.59390764482714,1.0
2021,11110515,섬유제품,188931105.5,22.976081742809594,24.0
2021,11110515,세탁소,78298946.75,252.19098575512237,29.0
2021,11110515,수산물판매,69292025.75,-3.747308872915918,30.0
2021,11110515,슈퍼마켓,2215474964.5,24.74763176008679,5.0
2021,11110515,스포츠 강습,97525037.25,2418.5807334910032,26.0
2021,11110515,신발,16000000.0,-51.47216026076434,36.0
2021,11110515,양식음식점,2988647846.0,74.86771458714905,3.0
2021,11110515,예술학원,89400769.75,173.4611754850713,27.0
2021,11110515,육류판매,249425975.75,163.63199610672794,18.0
2021,11110515,의약품,746090773.75,-23.606084303855642,7.0
2021,11110515,인테리어,177234740.75,1443.368072772086,25.0
2021,11110515,일반교습학원,597545216.0,25.496142578557627,9.0
2021,11110515,일반의류,330637369.75,-22.708508463115717,13.0
2021,11110515,일반의원,464707273.0,13.887760951924347,11.0
2021,11110515,일식음식점,275006025.75,79.48773583257982,16.0
2021,11110515,자동차미용,214765787.25,32.80890395887566,23.0
2021,11110515,전자상거래업,246265135.75,8108.837858333334,20.0
2021,11110515,제과점,603452373.75,-23.37099320021859,8.0
2021,11110515,중식음식점,285522592.5,623.4834980834208,14.0
2021,11110515,철물점,83405323.5,0.0,28.0
2021,11110515,청과상,470071099.0,37.625334596274435,10.0
2021,11110515,치과의원,237162665.0,22.615808576290554,22.0
2021,11110515,치킨전문점,65977464.5,609.4275501798422,31.0
2021,11110515,커피-음료,3659097926.0,114.37260042360052,2.0
2021,11110515,패스트푸드점,29909170.25,34.292698540043865,33.0
2021,11110515,편의점,1359011949.75,30.129996080205867,6.0
2021,11110515,피부관리실,27727883.75,105.39208901585866,34.0
2021,11110515,한식음식점,2837284188.0,37.571996471304445,4.0
2021,11110515,호프-간이주점,275904056.5,315.72406131228,15.0
2021,11110515,화초,427672592.0,787.8044833750889,12.0
2021,11110530,가방,3000000.0,-62.5,44.0
2021,11110530,가전제품,635795331.0,11.252572988913597,24.0
2021,11110530,네일숍,145539979.25,312.34766460538845,35.0
2021,11110530,노래방,120241951.0,-26.429062970832934,36.0
2021,11110530,당구장,33280039.75,-22.79316782989091,41.0
2021,11110530,문구,2615919918.0,-5.123423454709038,8.0
2021,11110530,미곡판매,197998215.0,20.254620683488664,34.0
2021,11110530,미용실,433771135.0,11.444835841475953,25.0
2021,11110530,반찬가게,1445246906.75,340.1204899911415,15.0
2021,11110530,분식전문점,2315978530.75,22.857171197460044,9.0
2021,11110530,서적,258774954.25,0.0,31.0
2021,11110530,세탁소,41424002.0,-46.786390089379275,40.0
2021,11110530,슈퍼마켓,3150218519.5,265.62958621029145,7.0
2021,11110530,스포츠 강습,642663643.0,135.04344540840577,23.0
2021,11110530,스포츠클럽,1547606354.0,98.71625792597715,14.0
2021,11110530,시계및귀금속,65632423.25,64.63892064370914,39.0
2021,11110530,안경,260742039.5,355.1065060936149,30.0
2021,11110530,양식음식점,4117293197.25,79.11710555704666,4.0
2021,11110530,여관,26296017.75,-49.22911267440691,42.0
2021,11110530,예술학원,234511417.0,311.86765295766355,32.0
2021,11110530,육류판매,981230778.75,0.0,19.0
2021,11110530,의료기기,1801407306.25,-0.015957197578783885,12.0
2021,11110530,의약품,364317822.25,10.099339809880389,28.0
2021,11110530,일반교습학원,644030040.0,27.304873111065287,22.0
2021,11110530,일반의류,808055475.5,-73.94822960675725,21.0
2021,11110530,일반의원,1697749739.0,80.63266325264425,13.0
2021,11110530,일식음식점,4312669738.0,36.642537402155604,3.0
2021,11110530,자동차수리,405521217.0,-35.24974777892877,26.0
2021,11110530,전자상거래업,4536290.0,-97.99455750584491,43.0
2021,11110530,제과점,997478494.25,-1.4019537130353867,18.0
2021,11110530,중식음식점,2287508353.0,14.158524672535957,10.0
2021,11110530,청과상,219929974.0,0.0,33.0
2021,11110530,치과의원,1815861067.25,9.649918140277228,11.0
2021,11110530,치킨전문점,393680777.75,138.003754316207,27.0
2021,11110530,커피-음료,8779654435.0,20.982801710268223,2.0
2021,11110530,패스트푸드점,1105999140.0,59.367300144804545,16.0
2021,11110530,편의점,4099110900.25,31.890059664964483,5.0
2021,11110530,피부관리실,92672507.5,15.331836804166729,38.0
