연도,행정동코드,업종,총매출,매출증감률,순위
2023,11110515,가방,9992821.0,0.0,36.0
2023,11110515,가전제품수리,20092214.0,39.93399137662132,34.0
2023,11110515,문구,3950483.75,-13.949032480806995,37.0
2023,11110515,미곡판매,10797798.0,-51.328671442147446,35.0
2023,11110515,미용실,259943326.0,17.9389988546738,19.0
2023,11110515,반찬가게,426000000.0,26.1908406166042,12.0
2023,11110515,분식전문점,277059758.5,109.68468452658749,18.0
2023,11110515,서적,4263653547.25,0.2777208412732705,2.0
2023,11110515,섬유제품,101377177.75,0.15566152441827413,25.0
2023,11110515,세탁소,80005369.0,7.418679346161136,27.0
2023,11110515,수산물판매,70455510.5,-8.830430257694767,29.0
2023,11110515,슈퍼마켓,2086882592.5,1.4444127198393248,5.0
2023,11110515,스포츠 강습,102767480.25,17.795175633422925,24.0
2023,11110515,시계및귀금속,2500000.0,25.0,38.0
2023,11110515,신발,24000000.0,0.0,31.0
2023,11110515,양식음식점,2577105035.25,-8.667504765864823,4.0
2023,11110515,예술학원,84346154.25,4.66736276635386,26.0
2023,11110515,육류판매,288851642.5,224.6075094280962,17.0
2023,11110515,의약품,889224179.75,-2.9524891670639977,7.0
2023,11110515,인테리어,168347129.0,-28.412994370841492,23.0
2023,11110515,일반교습학원,570584686.5,47.65605080490939,10.0
2023,11110515,일반의류,324811998.25,-8.288876952169652,15.0
2023,11110515,일반의원,596831829.0,20.325023599560758,9.0
2023,11110515,일식음식점,364853512.0,2.6901558002171684,14.0
2023,11110515,자동차미용,218023794.25,5.453919578207527,21.0
2023,11110515,제과점,472838558.5,-5.427762403711474,11.0
2023,11110515,중식음식점,296719194.6666667,0.2066232498026481,16.0
2023,11110515,철물점,65339461.5,-32.9788025688932,30.0
2023,11110515,청과상,756162410.5,23.497951551261785,8.0
2023,11110515,치과의원,221651056.5,5.909067684376682,20.0
2023,11110515,치킨전문점,75751543.75,0.7675511924866056,28.0
2023,11110515,커피-음료,4848388056.0,0.09223384579033131,1.0
2023,11110515,패스트푸드점,21295918.75,-33.58459359407613,33.0
2023,11110515,편의점,1184161222.0,-14.012602463389861,6.0
2023,11110515,피부관리실,23287655.25,-14.792315772541548,32.0
2023,11110515,한식음식점,3448609252.25,1.0001746538183913,3.0
2023,11110515,호프-간이주점,372178618.5,45.70666611930221,13.0
2023,11110515,화초,214959400.25,-43.969988565099264,22.0
2023,11110530,가방,15750000.0,-41.66666666666667,42.0
2023,11110530,가전제품,1080095595.0,150.41839732631632,17.0
2023,11110530,네일숍,86590985.0,-30.633954901648874,37.0
2023,11110530,노래방,272845392.5,40.30316253605244,31.0
2023,11110530,당구장,51357197.25,20.965127219962092,40.0
2023,11110530,문구,2945222589.5,31.01534683749992,7.0
2023,11110530,미곡판매,241420816.5,12.552350118817515,33.0
2023,11110530,미용실,368333675.5,-14.450417446232642,27.0
2023,11110530,반찬가게,688682471.5,-31.23606450823604,22.0
2023,11110530,분식전문점,2715916198.75,-13.343897019082146,9.0
2023,11110530,서적,225339906.25,101.13437662172413,34.0
2023,11110530,세탁소,67361337.5,-3.25194826003714,39.0
2023,11110530,슈퍼마켓,2564859513.5,-25.83869378863295,10.0
2023,11110530,스포츠 강습,466292726.25,-19.998585026888705,25.0
2023,11110530,스포츠클럽,1951749973.0,19.05944874601233,12.0
2023,11110530,시계및귀금속,51109192.5,-36.11437183098028,41.0
2023,11110530,안경,252192558.25,-1.2369834643881588,32.0
2023,11110530,양식음식점,5924793630.0,20.761005947286854,4.0
2023,11110530,여관,73691748.5,97.28240102164641,38.0
2023,11110530,예술학원,315097329.25,30.455935507893024,29.0
2023,11110530,육류판매,705595933.75,-31.281172731488972,21.0
2023,11110530,의료기기,1584354871.75,-19.837385973737646,14.0
2023,11110530,의약품,551857762.25,27.147959221360306,24.0
2023,11110530,일반교습학원,589045118.75,25.86399104975997,23.0
2023,11110530,일반의류,898858308.25,-3.3387604360126097,18.0
2023,11110530,일반의원,1938834142.5,8.377272874002873,13.0
2023,11110530,일식음식점,4375358954.25,-8.746261860711156,5.0
2023,11110530,자동차수리,366067434.0,-2.1894178698287132,28.0
2023,11110530,제과점,1266257049.75,4.2402051245323635,16.0
2023,11110530,중식음식점,2878621512.5,5.5907444839596945,8.0
2023,11110530,청과상,187613671.0,-14.181647675389863,35.0
2023,11110530,치과의원,1989647264.75,14.452872956806178,11.0
2023,11110530,치킨전문점,440627163.25,-12.463067207050402,26.0
2023,11110530,커피-음료,12299285685.75,8.677151934601595,2.0
2023,11110530,패스트푸드점,891651324.0,-14.139353688991353,19.0
2023,11110530,편의점,4343058113.75,-5.068545449142713,6.0
2023,11110530,피부관리실,147436032.75,15.464622173627726,36.0
2023,11110530,한식음식점,38004592630.75,9.78614239032728,1.0
2023,11110530,한의원,735048230.25,1.508664051002155,20.0
2023,11110530,핸드폰,10953506.666666666,-16.758128998324384,43.0
2023,11110530,호프-간이주점,6026604805.75,1.8273205530179975,3.0
2023,11110530,화장품,1376887908.5,33.8806892610038,15.0
2023,11110530,화초,282380161.0,-9.052603079777825,30.0
2023,11110540,가구,83000000.0,0.0,18.0
2023,11110540,가방,14195714.75,-19.98341493871909,20.0
2023,11110540,반찬가게,177921087.0,-28.59606939595735,17.0
2023,11110540,분식전문점,1590174356.0,-8.377400188878179,5.0
2023,11110540,서적,8083680.5,31.061109617033594,22.0
2023,11110540,슈퍼마켓,636957760.25,74.0363682095985,10.0
2023,11110540,시계및귀금속,649256226.75,-37.787796471972776,9.0
2023,11110540,신발,385177016.75,-4.582340160397603,12.0
2023,11110540,양식음식점,4285548537.5,1.4380496513609402,4.0
2023,11110540,의약품,313444316.25,15.482305391984202,14.0
2023,11110540,일반의류,10909203045.75,-12.62138675776336,1.0
2023,11110540,일반의원,315338868.25,30.57116317955012,13.0
2023,11110540,일식음식점,9437629.5,-65.53164871631304,21.0
2023,11110540,전자상거래업,272083827.75,-12.580345384322975,15.0
2023,11110540,제과점,1192836265.25,60.058925717514796,6.0
2023,11110540,커피-음료,8310794241.75,-14.91861228288066,2.0
2023,11110540,패스트푸드점,268221285.25,173.1928438413501,16.0
2023,11110540,편의점,810123924.75,-41.357349558069295,8.0
2023,11110540,한식음식점,8078669011.0,-1.6246779483694165,3.0
2023,11110540,호프-간이주점,900198113.5,86.74473953946654,7.0
2023,11110540,화장품,615890285.5,23.93731412772715,11.0
2023,11110540,화초,75200794.25,20.258846356997623,19.0
2023,11110550,미곡판매,3543700.0,-45.369891328678484,22.0
2023,11110550,미용실,53697735.5,59.92661500992894,16.0
2023,11110550,반찬가게,6142882.25,-26.570430607891165,21.0
2023,11110550,분식전문점,79583563.25,-17.525784998731684,11.0
2023,11110550,서적,6479544.75,-37.43690387084216,20.0
