연도,행정동코드,업종,총매출,매출증감률,순위
2022,11110540,양식음식점,4224793903.5,13.8870948091388,4.0
2022,11110540,의약품,271421942.25,25.283453718564363,14.0
2022,11110540,일반의류,12484980753.25,23.024265223756505,1.0
2022,11110540,일반의원,241507282.75,0.0,16.0
2022,11110540,일식음식점,27380565.5,-34.822795696774676,19.0
2022,11110540,전자상거래업,311238735.6666667,17.24599302135886,13.0
2022,11110540,제과점,745248201.5,36.31370130971842,8.0
2022,11110540,커피-음료,9768052055.5,31.59518563708945,2.0
2022,11110540,패스트푸드점,98180201.75,-61.525613148668754,17.0
2022,11110540,편의점,1381458577.75,24.63044248293542,6.0
2022,11110540,한식음식점,8212089010.25,57.91544501435083,3.0
2022,11110540,호프-간이주점,482047374.25,56.27139885147401,10.0
2022,11110540,화장품,496936931.25,116.70121825416184,9.0
2022,11110540,화초,62532442.75,126.57895913011137,18.0
2022,11110550,미곡판매,6486716.0,8.491631440953453,24.0
2022,11110550,미용실,33576484.75,-53.128779130440705,19.0
2022,11110550,반찬가게,8365679.25,8.689010026477884,23.0
2022,11110550,분식전문점,96495084.25,-8.621570280669674,12.0
2022,11110550,서적,10356816.0,-43.602549316790224,22.0
2022,11110550,세탁소,50769442.0,42.53472923729304,18.0
2022,11110550,슈퍼마켓,106479156.5,-14.82784666100917,10.0
2022,11110550,스포츠 강습,103402577.25,56.64959893911173,11.0
2022,11110550,스포츠클럽,55432111.75,0.0,17.0
2022,11110550,양식음식점,870218526.0,26.345393362289084,4.0
2022,11110550,예술학원,109169732.0,-14.316452138452277,9.0
2022,11110550,일반교습학원,452914126.25,-18.036929793283505,6.0
2022,11110550,일반의류,359283102.75,42.09914655700099,7.0
2022,11110550,일식음식점,17847767.25,-39.00888990853419,21.0
2022,11110550,자동차수리,1612863918.0,2.336560939922272,1.0
2022,11110550,제과점,356054244.25,4.581260643602104,8.0
2022,11110550,중식음식점,56926788.0,-0.29855681811818074,16.0
2022,11110550,치킨전문점,32249205.666666668,-4.593552928291479,20.0
2022,11110550,커피-음료,921816371.5,13.616688655135844,3.0
2022,11110550,패스트푸드점,58632805.75,10.401334555140016,15.0
2022,11110550,편의점,721218528.0,2.910765755120841,5.0
2022,11110550,한식음식점,1105080622.0,26.086641274804755,2.0
2022,11110550,호프-간이주점,70063424.25,142.4059893426672,13.0
2022,11110550,화초,63656256.75,226.9181759039792,14.0
2022,11110560,당구장,10213489.25,-50.0764989802356,29.0
2022,11110560,문구,15288943.5,-2.396257656063225,28.0
2022,11110560,미용실,53832838.25,-56.09015327191067,23.0
2022,11110560,분식전문점,391098895.5,20.03587974960976,6.0
2022,11110560,서적,186789317.33333334,107.87675414551387,16.0
2022,11110560,세탁소,80817911.75,16.512626084620265,18.0
2022,11110560,슈퍼마켓,745355215.5,-54.644452758829566,2.0
2022,11110560,스포츠 강습,190709738.0,9.402962956525199,14.0
2022,11110560,애완동물,1159693.5,-31.26761640216226,33.0
2022,11110560,양식음식점,157836987.0,2.1233208253493374,17.0
2022,11110560,여관,76833264.0,0.0,20.0
2022,11110560,예술학원,5133334.0,0.0,32.0
2022,11110560,육류판매,233327858.0,-59.43875473966883,10.0
2022,11110560,의약품,291908604.25,26.13945213933459,9.0
2022,11110560,일반교습학원,188163320.75,-60.72337781326556,15.0
2022,11110560,일반의류,72589879.25,78.08905817068327,21.0
2022,11110560,일반의원,317981183.0,-72.13077091379375,7.0
2022,11110560,일식음식점,19523757.0,-12.796626754309143,27.0
2022,11110560,자동차수리,65867691.5,62.941142208953,22.0
2022,11110560,제과점,433182603.25,2.7367839327228802,5.0
2022,11110560,중식음식점,300747213.0,-7.903768253294912,8.0
2022,11110560,청과상,219490371.0,3.2100841108451057,11.0
2022,11110560,치과의원,192910643.25,19.830229220671054,13.0
2022,11110560,커피-음료,210016659.0,-0.07034168732182684,12.0
2022,11110560,패스트푸드점,77830439.0,0.0,19.0
2022,11110560,편의점,641486867.75,2.7502520895497384,3.0
2022,11110560,피부관리실,37421052.25,-25.57701375663853,24.0
2022,11110560,한식음식점,3152397239.5,-5.253322639668878,1.0
2022,11110560,한의원,37218098.75,-3.41670166757429,25.0
2022,11110560,핸드폰,20320163.0,-59.20181705859036,26.0
2022,11110560,호프-간이주점,541817072.0,36.119870088530895,4.0
2022,11110560,화장품,5393921.0,-43.62961270526041,31.0
2022,11110560,화초,5490909.0,-26.34146014277196,30.0
2022,11110570,미용실,63066944.5,-14.496166093556809,13.0
2022,11110570,분식전문점,12000000.0,0.0,15.0
2022,11110570,슈퍼마켓,1266925786.5,1.2468740289293112,2.0
2022,11110570,예술학원,6515809.0,-38.135586823614084,16.0
2022,11110570,의약품,3603915716.5,-1.6941901084916506,1.0
2022,11110570,일반교습학원,369707621.5,65.44733195190045,6.0
2022,11110570,제과점,470970832.75,18.584268948822682,5.0
2022,11110570,철물점,269541503.25,-32.83239620992101,7.0
2022,11110570,청과상,257709684.5,-2.9603879731353953,8.0
2022,11110570,치과의원,158560277.0,45.32804313661675,9.0
2022,11110570,치킨전문점,106292156.5,7.338465022422318,11.0
2022,11110570,커피-음료,82145713.5,-3.802805321565724,12.0
2022,11110570,패스트푸드점,106895314.5,-30.09559117764553,10.0
2022,11110570,편의점,854832384.25,10.757792077242211,3.0
2022,11110570,한식음식점,493596526.25,8.838169506409677,4.0
2022,11110570,호프-간이주점,60172239.0,0.0,14.0
2022,11110580,미용실,27187764.0,-7.537599438201359,18.0
2022,11110580,분식전문점,37400726.5,76.09301494953573,16.0
2022,11110580,서적,57066315.5,-30.496109411034606,15.0
2022,11110580,슈퍼마켓,148703878.0,15.21930413376518,10.0
2022,11110580,스포츠 강습,66780085.75,-27.39460083547854,13.0
2022,11110580,의료기기,16759580.5,-3.3054790659127398,20.0
2022,11110580,의약품,3880741925.5,9.465884970624789,1.0
2022,11110580,일반교습학원,159503711.25,52.523711446674056,8.0
2022,11110580,일반의류,13231340.5,0.0,21.0
2022,11110580,일반의원,981624349.0,-37.76085117251829,3.0
2022,11110580,일식음식점,288000000.0,-12.373336485094034,6.0
2022,11110580,제과점,158669404.5,-22.920037629707352,9.0
2022,11110580,중식음식점,582399542.0,0.0,5.0
2022,11110580,치과의원,18232727.5,-59.24410897655098,19.0
2022,11110580,치킨전문점,66128958.25,60.86777392372339,14.0
2022,11110580,커피-음료,171654497.75,4.723906833306009,7.0
2022,11110580,패스트푸드점,68092877.0,-29.569773927414584,12.0
2022,11110580,편의점,898648144.25,4.6924998359876735,4.0
2022,11110580,한식음식점,1897641179.75,27.024475186493174,2.0
2022,11110580,한의원,74614006.5,16.135093411101014,11.0
2022,11110580,화장품,28000000.0,-5.912721784506362,17.0
2022,11110600,가방,25668532.5,-48.278986122319594,25.0
2022,11110600,노래방,42062139.25,199.2152525860778,21.0
2022,11110600,당구장,15967953.75,174.24561627383147,26.0
2022,11110600,문구,130174309.25,-3.4022974773293573,17.0
2022,11110600,미용실,68202541.75,-12.347703585619318,19.0
2022,11110600,반찬가게,1150500000.0,-8.458631236595023,6.0
2022,11110600,분식전문점,1047806864.5,105.33612001900285,7.0
2022,11110600,서적,29662196.5,-8.25121894509768,24.0
2022,11110600,세탁소,4036398.5,-19.48238227630316,27.0
2022,11110600,슈퍼마켓,375668963.75,-27.522341236755683,12.0
2022,11110600,스포츠 강습,274853824.0,748.594595924697,14.0
2022,11110600,시계및귀금속,346532845.75,-6.565901377117532,13.0
2022,11110600,신발,47551629.0,-82.06254035837311,20.0
2022,11110600,안경,35882639.25,3.664071210938702,22.0
2022,11110600,양식음식점,4436082526.5,66.72695205908019,2.0
2022,11110600,일반교습학원,130366944.75,1.9443906512550821,16.0
2022,11110600,일반의류,749513315.25,362.54177618764766,10.0
2022,11110600,일식음식점,924919472.75,88.12180701945574,8.0
2022,11110600,제과점,1741406861.0,67.97287174536602,5.0
2022,11110600,치킨전문점,162004977.0,137.2598828007335,15.0
2022,11110600,커피-음료,3836030615.25,50.644127835401264,3.0
2022,11110600,패스트푸드점,119968335.25,-51.33443444979547,18.0
2022,11110600,편의점,793939226.75,16.356421338249913,9.0
2022,11110600,한식음식점,9013987540.0,41.514744227500444,1.0
