항목,값
실행시간,20250619_112904
MSE,"5,109,985,332,113,476,608"
RMSE (원),"2,260,527,667"
MAE (원),"233,748,479"
Lag 특성 기여도 (%),92.4%
OOB Score,0.8872
테스트 년도,2024
훈련 데이터 크기,"340,321"
테스트 데이터 크기,"67,900"
특성 개수,62
롤링 예측 적용,Yes
타깃 리키지 제거,Yes
시계열 특성,Lag 1분기 + 4분기
